"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"95","1","95",,,3,,"FFFF7C","000000"
"96","1","96",,,3,,"FFFF7C","000000"
"97","1","97",,,3,,"FFFF7C","000000"
"9701","1","9701",,,3,,"FFFF7C","000000"
"9702","1","9702",,,3,,"FFFF7C","000000"
"9703","1","9703",,,3,,"FFFF7C","000000"
"99","1","99",,,3,,"FFFF7C","000000"
"CR-Fairmount","1","","Fairmount Line","",2,"","8B118F","FFFFFF"
"CR-Fitchburg","1","","Fitchburg/South Acton Line",,2,"","8B118F","FFFFFF"
"CR-Worcester","1","","Framingham/Worcester Line","",2,"","8B118F","FFFFFF"
"CR-Franklin","1","","Franklin Line","",2,"","8B118F","FFFFFF"
"CR-Greenbush","1","","Greenbush Line",,2,"","8B118F","FFFFFF"
"CR-Haverhill","1","","Haverhill Line","",2,"","8B118F","FFFFFF"
"CR-Lowell","1","","Lowell Line","",2,"","8B118F","FFFFFF"
"CR-Needham","1","","Needham Line","",2,"","8B118F","FFFFFF"
"CR-Newburyport","1","","Newburyport/Rockport Line","",2,"","8B118F","FFFFFF"
"CR-Providence","1","","Providence/Stoughton Line","",2,"","8B118F","FFFFFF"
"CR-Kingston","1",,"Kingston/Plymouth Line",,2,,"8B118F","FFFFFF"
"CR-Middleborough","1",,"Middleborough/Lakeville Line",,2,,"8B118F","FFFFFF"
"Boat-F1","1",,"Hingham Ferry",,4,,,
"Boat-F3","1",,"Hull Ferry",,4,,,
"Boat-F4","1",,"Charlestown Ferry",,4,,,
"Logan-22","2","Shuttle","Massport Subway Shuttle (22)",,3,,,
"Logan-33","2","Shuttle","Massport Subway Shuttle (33)",,3,,,
"Logan-55","2","Shuttle","Massport Subway Shuttle (55)",,3,,,
"Logan-44","2","Shuttle","Massport Ferry Terminal Shuttle (44)",,3,,,
"Logan-66","2","Shuttle","Massport Subway / Ferry Terminal Shuttle (66)",,3,,,
"710","1","710",,,3,,"FFFF7C","000000"
"712","1","712",,,3,,"FFFF7C","000000"
"713","1","713",,,3,,"FFFF7C","000000"
"714","1","714",,,3,,"FFFF7C","000000"
"716","1","716",,,3,,"FFFF7C","000000"
